id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews
961692,"PRIVATE ENT. GARDEN SUITE
Savings= WK 20%  MTH 50%",5237545,Valerie,Hastings-Sunrise,49.29186,-123.02504,Entire home/apt,130,36
966003,$90 Special Downtown Van 180 Degree Water View,5268156,Sharon & Allan,Downtown,49.2803,-123.10788,Entire home/apt,150,222
980511,"261 Yaletown Studio at ""Space""",600607,Bruce,Downtown,49.2764,-123.12547,Entire home/apt,89,6
994900,Explore Vancouver from a Charming Heritage House,5464331,Denise & Rolf,Downtown Eastside,49.27888,-123.08514,Entire home/apt,105,221
994969,152 Studio (no Bedroom),600607,Bruce,Downtown,49.27994,-123.12554,Entire home/apt,86,1
995174,159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,600607,Bruce,West End,49.28839,-123.12777,Entire home/apt,128,10
1007137,S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,5539641,Selina,Downtown,49.28031,-123.1267,Entire home/apt,279,2
1007144,S1-VIBRANT DOWNTOWN 1-BR + den!  ,5539641,Selina,Downtown,49.27837,-123.12582,Entire home/apt,180,1
1012385,comfy stay in clean victorian house,5569906,Mark Anthony,Mount Pleasant,49.25825,-123.08901,Entire home/apt,79,236
1021607,Deluxe Junior One Bedroom (2 Beds),5623565,Hajime,Downtown,49.27826,-123.12085,Entire home/apt,79,90
1021669,Yaletown Deluxe Studio Condominium,5623565,Hajime,Downtown,49.2787,-123.12732,Entire home/apt,75,131
1030205,Beautiful Point Grey Character Home,5668489,David,Kitsilano,49.26984,-123.1812,Entire home/apt,250,82
1030299,Great location!  Gastown/Skytrain,2673805,Keith,Downtown,49.27843,-123.10725,Entire home/apt,111,21
1032892,Artist's Character home in 'hip' Commercial Drive,2378744,Lori,Grandview-Woodland,49.27093,-123.06289,Private room,95,45
1066613,Modern warm apt - Yaletown,84353,Mike,Downtown,49.27847,-123.12429,Private room,65,21
1096393,Ground Level apartment for 1 person,2456973,Jeanette,Fairview,49.25818,-123.13185,Entire home/apt,200,9
1097336,Kitsilano apartment near the beach,1922054,Marta,Kitsilano,49.26835,-123.1829,Entire home/apt,98,4
1102797,this is the door to vancouver UNW,981145,Dianne,Downtown Eastside,49.27881,-123.08014,Private room,70,66
1103566,"Modern, Heart of Downtown-3 BR+2Bath+Office+Pkg",6060927,Arin,Downtown,49.27865,-123.10722,Entire home/apt,350,245
1109821,136 Lord Stanley Great price!,600607,Bruce,West End,49.29193,-123.1364,Entire home/apt,99,11
1113551,Family-Friendly Kitsilano House with Mountain Views,5231060,Liz,Kitsilano,49.26056,-123.15874,Entire home/apt,479,34
1115618,This is the door to Vancouver UNE,981145,Dianne,Downtown Eastside,49.27864,-123.07854,Private room,70,54
1118858,*Best choice in downtown-5 Stars *,70137,Kai,West End,49.28115,-123.13038,Private room,95,52
1126273,Yaletown/Downtown  1 Bedroom Condo,254337,Edgar,Downtown,49.28061,-123.11874,Entire home/apt,99,1
1141457,2 Bdrm in Strathcona,6067405,Paige And Grant,Downtown Eastside,49.27954,-123.08689,Entire home/apt,121,244
1156898,seasonal suite with private bathroom in Vancouver,1344421,Jimmy,Victoria-Fraserview,49.2283,-123.07126,Private room,36,86
1162198,Bright & Tidy Character Apartment,6366260,Mary,Grandview-Woodland,49.27186,-123.06996,Private room,49,72
1171867,Live by the beach in Kits Point,1805803,Linda,Kitsilano,49.27427,-123.14976,Entire home/apt,301,63
1178149,Cozy space in East Vancouver,6165412,Sylvia,Hastings-Sunrise,49.27128,-123.04797,Entire home/apt,79,33
1187929,Elegant Main floor House Vancouver,6495937,Janet,Kensington-Cedar Cottage,49.24931,-123.0704,Entire home/apt,188,86
1191143,Beautiful Kitsilano Character home. Great Location,598979,Mary,Kitsilano,49.26856,-123.17419,Entire home/apt,240,12
